item_id,n_subjects,pass_rate,benchmark
00003145688411a8,7,1.0,afrimedqa
000145f2b81378e4,4,3.4375,ultrafeedback
0001783c205f1448,4,2.533333333333333,ultrafeedback
00030460ff2b8e5a,240,0.9125,mmbench_v11
000317c0b1a7d456,4,4.466666666666667,ultrafeedback
00039e06772531aa,4,4.5625,ultrafeedback
00042aaaa35e0f2a,72,0.6290322580645161,livecodebench
00068f04d48c91e0,118,0.40728476821192056,rewardbench
0006969cb1b21f5c,4,3.375,ultrafeedback
00069d1681f4d04c,47,0.5319148936170213,mmlupro
0007106d32f9c569,1,1.0,mmlupro
000752c553dd91b4,4,2.875,ultrafeedback
000757511f641423,4,4.3125,ultrafeedback
00077c5fbe591fae,4,4.4375,ultrafeedback
0007c8e60e8499d7,4,3.375,ultrafeedback
00087bf463c25df7,4,4.625,ultrafeedback
00090010de84fb9d,4,4.0625,ultrafeedback
000ae7add876819d,4,3.8125,ultrafeedback
000bd2d3b41e431e,6,0.0,agentdojo
000cf41792cf5c22,47,0.48936170212765956,mmlupro
000d1f78e9234a3f,4,2.75,ultrafeedback
000f13a196c992de,4,3.6875,ultrafeedback
000f37a29d3801f4,4,4.533333333333333,ultrafeedback
001007f603729493,118,0.6456953642384106,rewardbench
00119d5b32659314,4,4.4375,ultrafeedback
0012a4db6a8ab915,4,4.625,ultrafeedback
00130f88d8f01cae,4,4.5625,ultrafeedback
00130feff9ba98b0,247,0.8785425101214575,ai2d_test
00136f213e28aaf9,4,4.0625,ultrafeedback
0013cb25d2ee3d0f,92,0.6413043478260869,bfcl
0015219e2650fc2d,4,3.625,ultrafeedback
00156ff7114ae349,4,4.0,ultrafeedback
0015b731117d6dd3,252,0.7261904761904762,ai2d_test
0015dbd85a9c890b,4,3.375,ultrafeedback
00160d37d01db129,4,3.6666666666666665,ultrafeedback
001693a0f9179752,4,4.0625,ultrafeedback
0017377de5ccf884,4,4.666666666666667,ultrafeedback
0017a1d6c821f44d,4,2.8125,ultrafeedback
00183f1dbeb493a2,47,0.46808510638297873,mmlupro
0018c57bd73d43c8,7,1.0,afrimedqa
001912cdff950c56,4,3.75,ultrafeedback
00193b38889efd2b,46,0.717391304347826,mmlupro
00193f3bcb8b207d,4,3.75,ultrafeedback
001984c92feb7ad8,47,0.5957446808510638,mmlupro
0019dc73ac067478,92,0.782608695652174,bfcl
001a1e9e3e3f74ff,4,4.2,ultrafeedback
001b449bc2d1ef51,4,3.5625,ultrafeedback
001b6242e0da5536,4,3.875,ultrafeedback
001c1f0e962cdc17,23,0.43478260869565216,afrimedqa
001cf3089a6fc44b,4,3.1875,ultrafeedback
001d1ec61fa8de6a,4,2.875,ultrafeedback
001e800fe439f2db,249,0.8835341365461847,ai2d_test
001ea8089ea82cdc,4,3.5625,ultrafeedback
001f1a9b16512e23,1,0.0,mmlupro
001f676dd86e2728,7,1.0,afrimedqa
0021e64a1d047c8a,4,3.125,ultrafeedback
00221c23dda86ace,4,2.7333333333333334,ultrafeedback
002228fa4da0a103,4,3.1875,ultrafeedback
0024933527a69d5f,4,3.0625,ultrafeedback
0025205a0663aae4,4,3.875,ultrafeedback
00256b90f5e670d5,4,4.0625,ultrafeedback
0025838f48a3fdc5,244,0.9139344262295082,ai2d_test
0026666f41c48951,4,3.75,ultrafeedback
0027aeeaaa4e55b0,4,3.2666666666666666,ultrafeedback
0028b8ac3ade2657,253,0.33992094861660077,ai2d_test
0028e129f4ded2c5,47,0.9148936170212766,mmlupro
0028e12c4fa0b79c,4,3.9375,ultrafeedback
0028f37a14455e43,7,0.7142857142857143,afrimedqa
002962e26eec44f5,46,0.9782608695652174,mmlupro
0029d167aae4762d,4,2.7857142857142856,ultrafeedback
0029ed0738f590a3,247,0.9311740890688259,mmbench_v11
002a5adf605e8f05,4,3.466666666666667,ultrafeedback
002b587d13198ec4,4,3.7333333333333334,ultrafeedback
002ca1817937bee7,4,4.0,ultrafeedback
002d57d6e7f93f40,4,4.0,ultrafeedback
002e3f88a6798c01,4,2.875,ultrafeedback
003042dd371397a1,4,4.4375,ultrafeedback
00315ad882dd32dc,4,2.3125,ultrafeedback
0032ac178ad8ada6,4,4.5625,ultrafeedback
0032e1d2e4303e14,7,1.0,afrimedqa
0034d142dbabaa6e,245,0.2653061224489796,ai2d_test
0035bbe59d613f27,28,0.26666666666666666,agentdojo
0037c0817a7900e0,23,1.0,afrimedqa
00385c2ac926753e,4,2.1333333333333333,ultrafeedback
0039a8cf85a018ae,4,4.5,ultrafeedback
0039d65ffcd7701f,4,3.25,ultrafeedback
003af366ffcc1555,4,2.4,ultrafeedback
003b786037e9c4b5,4,3.466666666666667,ultrafeedback
003b9e552f8b4226,252,0.3412698412698413,ai2d_test
003bbe9c38392dce,4,2.875,ultrafeedback
003cb4b4998f0994,7,1.0,afrimedqa
003cdf61e62116d4,47,0.574468085106383,mmlupro
003d325fb041e85e,4,3.0,ultrafeedback
003d3fa80c275810,4,4.5625,ultrafeedback
003d79e4bbdcaf74,4,2.8125,ultrafeedback
003dfe9e5e615569,4,1.1333333333333333,ultrafeedback
003eba55e0d186d6,4,4.75,ultrafeedback
003f0697ff9d12bc,4,3.8125,ultrafeedback
003f3f97f0e60f49,93,0.3870967741935484,bfcl
003fb72c5fb592ab,47,0.8723404255319149,mmlupro
00408abdfc804646,4,4.125,ultrafeedback
0041d9396a56d044,4,3.75,ultrafeedback
00421367f79448a7,1,0.0,mmlupro
004219ba218ff8f2,4,3.142857142857143,ultrafeedback
0042430e432c05c1,4,3.8125,ultrafeedback
004297cfca0051e9,4,4.25,ultrafeedback
00432641922cce5b,46,1.0,mmlupro
0043d7bab251e4c6,47,0.0,mmlupro
004402a54f47f74c,47,0.14893617021276595,mmlupro
00440d5c7b1f465c,93,0.17921146953405018,bfcl
0044a74bf86169df,4,3.625,ultrafeedback
0044d99fdb42a8e2,23,0.6521739130434783,afrimedqa
00453ab205d5bd32,46,0.2826086956521739,mmlupro
0045a833e4c45236,93,0.6774193548387096,bfcl
0046599b95d7e899,4,4.3125,ultrafeedback
00468b14b3be20ec,4,2.75,ultrafeedback
0047618dd44d6930,4,4.375,ultrafeedback
00478a5006433c95,4,3.875,ultrafeedback
00482c0ed4953cfc,4,4.4375,ultrafeedback
00485d4cbed6f250,7,0.5714285714285714,afrimedqa
004873a3273fa6af,4,4.1875,ultrafeedback
0048aaca34685e6e,4,3.875,ultrafeedback
0048bb87ba177409,46,0.8695652173913043,mmlupro
0048ec44e156ecb6,4,3.5,ultrafeedback
00491fef64c55f3a,241,0.5020746887966805,mmbench_v11
004b02bd10ed3b8d,7,1.0,afrimedqa
004b708f5c445fad,249,0.9437751004016064,mmbench_v11
004d8ca365d84069,4,4.3125,ultrafeedback
004d9a8d7540893d,47,0.0425531914893617,mmlupro
004f76fe179a4a3f,23,0.8695652173913043,afrimedqa
0050525daa119bbe,47,0.5957446808510638,mmlupro
0050b14eca827084,4,3.5,ultrafeedback
00516ee0a098742c,4,3.4166666666666665,ultrafeedback
0051be0ebbbca623,4,4.5,ultrafeedback
0051d4aac487c1cf,4,4.125,ultrafeedback
0052456a99f60ee9,7,1.0,afrimedqa
005272209285d986,4,3.5625,ultrafeedback
0052a6f2b9db9e1b,4,3.875,ultrafeedback
00530471102c354d,4,4.0,ultrafeedback
005384ded83372e9,4,3.125,ultrafeedback
0053e803c8adbd55,4,3.3125,ultrafeedback
005445611baff306,4,3.8,ultrafeedback
0054834b07d49ec8,247,0.8744939271255061,mmbench_v11
0054bdc7ac15725b,263,0.19011406844106463,mathvista_mini
005508a39cd55e08,93,0.15053763440860216,bfcl
0055223dafbebe7f,93,0.4838709677419355,bfcl
00557073538c8f8c,4,4.75,ultrafeedback
00558f366bbd24f5,4,4.625,ultrafeedback
00559c155afaa65c,4,3.8125,ultrafeedback
0055bb57247aeb94,4,3.1875,ultrafeedback
00571ae0127e08dc,28,0.24444444444444444,agentdojo
0057bf45fca71d96,23,1.0,afrimedqa
00584c90b364d524,7,1.0,afrimedqa
0058508eb8510289,249,0.7751004016064257,ai2d_test
005959cb3bb1c6f9,4,4.1875,ultrafeedback
005991432ef6e649,46,0.30434782608695654,mmlupro
005a0f41fa1dcf35,4,3.375,ultrafeedback
005a2129c8deb573,4,3.5,ultrafeedback
005a32c786e20a1b,23,0.9565217391304348,afrimedqa
005b39d72fe2ce92,251,0.7609561752988048,ai2d_test
005b88ecba8fcd5c,4,4.625,ultrafeedback
005c733edfd786a5,23,0.08695652173913043,afrimedqa
005c9d01d0239183,47,0.02127659574468085,mmlupro
005cae3ecc4bcff4,4,3.8,ultrafeedback
005cc438f164ce02,4,2.8125,ultrafeedback
005dd0b3645b0012,4,4.4375,ultrafeedback
005e38c5e3b0b567,227,0.9823788546255506,mmbench_v11
005e93ea96b5cc2c,4,3.5,ultrafeedback
005f0de21041741d,23,0.043478260869565216,afrimedqa
005f33e74610f1b8,4,3.625,ultrafeedback
005fe06aac9dfd30,4,4.4375,ultrafeedback
0060d612a6234121,46,0.5652173913043478,mmlupro
0061c607aa4e4d09,4,2.5,ultrafeedback
0063344044a1d04a,4,4.75,ultrafeedback
00646fbbf2234b35,47,0.23404255319148937,mmlupro
00648719e56e567d,4,3.9375,ultrafeedback
0064c9871e985e5a,23,0.9130434782608695,afrimedqa
006563e2cab6b605,93,0.0,bfcl
0065a581c5b28606,4,1.1333333333333333,ultrafeedback
00667f3a6cf53d90,47,0.44680851063829785,mmlupro
006786d17c46e762,4,3.8125,ultrafeedback
00690e799237bc9f,4,3.3125,ultrafeedback
0069df372bfae477,6,0.0,agentdojo
006bbbb53b35eab5,4,4.6875,ultrafeedback
006c6cb1cec36363,47,0.5319148936170213,mmlupro
006c6d084f18405c,4,4.0,ultrafeedback
006d8baa96946243,4,3.9375,ultrafeedback
006e96041c851e1c,47,1.0,mmlupro
006e9f2e54e15284,4,4.0,ultrafeedback
006eabce67d0d80a,47,0.425531914893617,mmlupro
006fba6f1653e2bf,4,3.5,ultrafeedback
00704b41199ef28f,4,3.25,ultrafeedback
00707943b923b27b,4,3.375,ultrafeedback
0070b76dbb1dd951,7,1.0,afrimedqa
00712ce1a92f7f25,4,3.4375,ultrafeedback
00713992153f7041,4,3.1875,ultrafeedback
0073a06f8cea2436,118,0.8112582781456954,rewardbench
0074b0d587912a4a,23,0.2608695652173913,afrimedqa
007636681586ffb0,4,3.2,ultrafeedback
007703ecd626da15,4,3.4375,ultrafeedback
0077292e400938c2,4,3.75,ultrafeedback
0077ecd4ba260b86,7,0.2857142857142857,afrimedqa
00787762503320dd,4,3.5,ultrafeedback
007880f97f770ebd,46,0.6086956521739131,mmlupro
0078c8039ea116c6,47,0.9574468085106383,mmlupro
007b012c6e609b5f,4,4.25,ultrafeedback
007d63b843c33d40,245,0.7638603696098563,mmbench_v11
007d96b1911e9d4b,244,0.9139344262295082,ai2d_test
007fbcbd2f4011f0,47,0.723404255319149,mmlupro
00801866d003cf94,23,0.13043478260869565,afrimedqa
008050614cf611c1,1,1.0,hle
0080827a8ec31683,4,4.0,ultrafeedback
00810cd4a4fa2be8,4,3.875,ultrafeedback
00815c62bb834ec4,4,4.6875,ultrafeedback
0081658ff07b7e80,7,0.7142857142857143,afrimedqa
0083ef8fe0dd671c,4,4.375,ultrafeedback
0084258ad6474015,4,2.8125,ultrafeedback
0084b71c591dad50,118,0.9172185430463576,rewardbench
0084e86f1c0e999e,4,4.75,ultrafeedback
0085800c5da46e49,4,4.25,ultrafeedback
00865c6cea80ee6c,4,3.0625,ultrafeedback
00867c4f3ad8a0f2,4,4.625,ultrafeedback
00869dc2b6f00232,4,4.4375,ultrafeedback
0086fe142f49af90,4,4.0,ultrafeedback
0087488832bb8e3c,93,0.9247311827956989,bfcl
00880d8db2de73d9,7,1.0,afrimedqa
0088af4287d3a507,4,2.3333333333333335,ultrafeedback
0088ef85165c3984,4,4.1875,ultrafeedback
008916dbda5f58e7,47,0.6808510638297872,mmlupro
0089237dc1664398,4,4.25,ultrafeedback
008b502d1b36495c,4,2.5,ultrafeedback
008b97535cba884d,3,1.0,androidworld
008ba35d34f0ba40,23,0.782608695652174,afrimedqa
008ba8f66360fbd0,4,3.7142857142857144,ultrafeedback
008c8b7f8e3a70fe,254,0.937007874015748,ai2d_test
008e2995742202b9,4,3.125,ultrafeedback
008ed19bd60702f0,4,4.375,ultrafeedback
0090a569fa9d30a7,4,2.7142857142857144,ultrafeedback
0090cac0bf5e90c4,250,0.976,ai2d_test
0091b5e2d8070bfb,4,2.5,ultrafeedback
00922ff695fb514f,93,0.8494623655913979,bfcl
00928db84e96094c,4,3.5625,ultrafeedback
0096140b5894efae,4,4.0,ultrafeedback
009649661d2b630b,4,2.3125,ultrafeedback
00974cdf33f06703,4,3.5,ultrafeedback
0099999bdfc9d93b,4,3.2,ultrafeedback
00999d48a980817c,4,2.5,ultrafeedback
009a6a3f6135d9c4,4,3.5625,ultrafeedback
009aa34806d2c9a2,4,4.75,ultrafeedback
009c68258716b4c3,4,3.3125,ultrafeedback
009d70c21b037ed7,4,4.125,ultrafeedback
009d844ed773c96d,4,3.25,ultrafeedback
009da17e38cf77fa,4,3.375,ultrafeedback
009dac41366fe7e8,4,4.375,ultrafeedback
009e1f90ea4778c4,23,0.8260869565217391,afrimedqa
009e213b2fbd6857,10,0.7,hle
009e74a9acae2213,4,4.3125,ultrafeedback
009f238939b1981c,4,2.6875,ultrafeedback
009fdb4cc577437a,4,4.375,ultrafeedback
009ff9ff8823346f,93,0.956989247311828,bfcl
00a07dabdb0e0a69,1,0.0,mmlupro
00a0d3e8c169dfae,93,0.6129032258064516,bfcl
00a111d13ffe880d,4,3.5625,ultrafeedback
00a1bb864088b672,4,3.25,ultrafeedback
00a2173b3efd638b,4,4.125,ultrafeedback
00a2600aa01a7c80,4,3.3125,ultrafeedback
00a43f65547adf62,4,4.75,ultrafeedback
00a50c6e6f2d620e,4,4.1875,ultrafeedback
00a571f2322b055b,4,3.375,ultrafeedback
00a582ae3c97385b,10,0.0,hle
00a6bb29604c4c9c,4,4.3125,ultrafeedback
00a71787ee29b2c4,248,0.8145161290322581,ai2d_test
00a73a1017822d77,249,0.9799196787148594,mmbench_v11
00a752a25c821044,4,4.0,ultrafeedback
00a788de9756714d,4,1.875,ultrafeedback
00a8190ef0cd7bfc,249,0.9357429718875502,ai2d_test
00a87eb58d0bec5b,23,0.4782608695652174,afrimedqa
00a9283ffec67c4e,4,2.2,ultrafeedback
00a9cec01c5d7cbc,4,3.9375,ultrafeedback
00a9d5d9fba0897b,4,4.8125,ultrafeedback
00ab705dba918ca6,4,4.5625,ultrafeedback
00abd45463ce23da,4,3.0625,ultrafeedback
00ac6248ed604945,4,4.5625,ultrafeedback
00aca4cf3551131d,4,2.75,ultrafeedback
00add691c127489b,118,0.695364238410596,rewardbench
00ae0f5707037f32,4,4.4375,ultrafeedback
00ae56cc06f164da,263,0.29277566539923955,mathvista_mini
00aee70ed2731094,93,0.3870967741935484,bfcl
00af1a7dd27d4507,118,0.4503311258278146,rewardbench
00b00ca74a93762a,4,4.5625,ultrafeedback
00b0fcba3a4e29dc,1,1.0,hle
00b1524a2892383c,4,4.5,ultrafeedback
00b191f04b09e6d2,4,4.3125,ultrafeedback
00b2af46c972e16c,47,0.9787234042553191,mmlupro
00b2ba2731faff90,4,3.625,ultrafeedback
00b2bb9a87379490,4,4.25,ultrafeedback
00b2efb35cf3be43,46,0.30434782608695654,mmlupro
00b34739fc457f44,47,0.0425531914893617,mmlupro
00b363dff8392d14,4,4.5625,ultrafeedback
00b3e63e0f13913b,4,3.8666666666666667,ultrafeedback
00b440bcc36fd69f,4,4.666666666666667,ultrafeedback
00b4755d1b147d3a,4,3.375,ultrafeedback
00b4e79186316ad0,4,3.0,ultrafeedback
00b512094069070d,28,0.14285714285714285,agentdojo
00b51c09af34843d,4,4.0,ultrafeedback
